index,surah,ayah,transliteration
125,2,118,waqala alladhina la ya'lamuna lawla yukallimuna al-lahu aw tatina ayatun kadhalika qala alladhina min qablihim mith'la qawlihim tashabahat qulubuhum qad bayyanna al-ayati liqawmin yuqinuna
126,2,119,inna arsalnaka bil-haqi bashiran wanadhiran wala tus'alu an ashabi al-jahimi
127,2,120,walan tarda anka al-yahudu wala an-nasara hatta tattabi'a millatahum qul inna huda al-lahi huwa al-huda wala-ini ittaba'ta ahwaahum ba'da alladhi jaaka mina al-'il'mi ma laka mina al-lahi min waliyyin wala nasirin
128,2,121,alladhina ataynahumu al-kitaba yatlunahu haqqa tilawatihi ulaika yu'minuna bihi waman yakfur bihi fa-ulaika humu al-khasiruna
129,2,122,yabani is'raila udh'kuru ni'matiya allati an'amtu alaykum wa-anni faddaltukum ala al-'alamina
130,2,123,wa-ittaqu yawman la tajzi nafsun an nafsin shayan wala yuq'balu min'ha adlun wala tanfa'uha shafa'atun wala hum yunsaruna
131,2,124,wa-idhi ib'tala ib'rahima rabbuhu bikalimatin fa-atammahunna qala inni ja'iluka lilnnasi imaman qala wamin dhurriyyati qala la yanalu ahdi az-zalimina
132,2,125,wa-idh ja'alna al-bayta mathabatan lilnnasi wa-amnan wa-ittakhidhu min maqami ib'rahima musallan wa'ahid'na ila ib'rahima wa-is'ma'ila an tahhira baytiya lilttaifina wal-'akifina war-ruka'i as-sujudi
133,2,126,wa-idh qala ib'rahimu rabbi ij'al hadha baladan aminan wa-ur'zuq ahlahu mina at-thamarati man amana min'hum bil-lahi wal-yawmi al-akhiri qala waman kafara fa-umatti'uhu qalilan thumma adtarruhu ila adhabi an-nari wabi'sa al-masiru
134,2,127,wa-idh yarfa'u ib'rahimu al-qawa'ida mina al-bayti wa-is'ma'ilu rabbana taqabbal minna innaka anta as-sami'u al-'alimu
135,2,128,rabbana wa-ij'alna mus'limayni laka wamin dhurriyyatina ummatan mus'limatan laka wa-arina manasikana watub alayna innaka anta at-tawabu ar-rahimu
136,2,129,rabbana wa-ib'ath fihim rasulan min'hum yatlu alayhim ayatika wayu'allimuhumu al-kitaba wal-hik'mata wayuzakkihim innaka anta al-'azizu al-hakimu
137,2,130,waman yarghabu an millati ib'rahima illa man safiha nafsahu walaqadi is'tafaynahu fi ad-dun'ya wa-innahu fi al-akhirati lamina as-salihina
138,2,131,idh qala lahu rabbuhu aslim qala aslamtu lirabbi al-'alamina
139,2,132,wawassa biha ib'rahimu banihi waya'qubu yabaniyya inna al-laha is'tafa lakumu ad-dina fala tamutunna illa wa-antum mus'limuna
