index,surah,ayah,transliteration
51,2,44,atamuruna an-nasa bil-biri watansawna anfusakum wa-antum tatluna al-kitaba afala ta'qiluna
52,2,45,wa-is'ta'inu bil-sabri was-salati wa-innaha lakabiratun illa ala al-khashi'ina
53,2,46,alladhina yazunnuna annahum mulaqu rabbihim wa-annahum ilayhi raji'una
54,2,47,yabani is'raila udh'kuru ni'matiya allati an'amtu alaykum wa-anni faddaltukum ala al-'alamina
55,2,48,wa-ittaqu yawman la tajzi nafsun an nafsin shayan wala yuq'balu min'ha shafa'atun wala yu'khadhu min'ha adlun wala hum yunsaruna
56,2,49,wa-idh najjaynakum min ali fir'awna yasumunakum sua al-'adhabi yudhabbihuna abnaakum wayastahyuna nisaakum wafi dhalikum balaon min rabbikum azimun
57,2,50,wa-idh faraqna bikumu al-bahra fa-anjaynakum wa-aghraqna ala fir'awna wa-antum tanzuruna
58,2,51,wa-idh wa'adna musa arba'ina laylatan thumma ittakhadhtumu al-'ij'la min ba'dihi wa-antum zalimuna
59,2,52,thumma afawna ankum min ba'di dhalika la'allakum tashkuruna
60,2,53,wa-idh atayna musa al-kitaba wal-fur'qana la'allakum tahtaduna
61,2,54,wa-idh qala musa liqawmihi yaqawmi innakum zalamtum anfusakum bi-ittikhadhikumu al-'ij'la fatubu ila bari-ikum fa-uq'tulu anfusakum dhalikum khayrun lakum inda bari-ikum fataba alaykum innahu huwa at-tawabu ar-rahimu
62,2,55,wa-idh qul'tum yamusa lan nu'mina laka hatta nara al-laha jahratan fa-akhadhatkumu as-sa'iqatu wa-antum tanzuruna
63,2,56,thumma ba'athnakum min ba'di mawtikum la'allakum tashkuruna
64,2,57,wazallalna alaykumu al-ghamama wa-anzalna alaykumu al-mana was-salwa kulu min tayyibati ma razaqnakum wama zalamuna walakin kanu anfusahum yazlimuna
65,2,58,wa-idh qul'na ud'khulu hadhihi al-qaryata fakulu min'ha haythu shi'tum raghadan wa-ud'khulu al-baba sujjadan waqulu hittatun naghfir lakum khatayakum wasanazidu al-muh'sinina
66,2,59,fabaddala alladhina zalamu qawlan ghayra alladhi qila lahum fa-anzalna ala alladhina zalamu rij'zan mina as-samai bima kanu yafsuquna
67,2,60,wa-idhi is'tasqa musa liqawmihi faqul'na id'rib bi'asaka al-hajara fa-infajarat min'hu ith'nata ashrata aynan qad alima kullu unasin mashrabahum kulu wa-ish'rabu min riz'qi al-lahi wala ta'thaw fi al-ardi muf'sidina
68,2,61,wa-idh qul'tum yamusa lan nasbira ala ta'amin wahidin fa-ud'u lana rabbaka yukh'rij lana mimma tunbitu al-ardu min baqliha waqithaiha wafumiha wa'adasiha wabasaliha qala atastabdiluna alladhi huwa adna bi-alladhi huwa khayrun ih'bitu mis'ran fa-inna lakum ma sa-altum waduribat alayhimu ad-dhilatu wal-maskanatu wabau bighadabin mina al-lahi dhalika bi-annahum kanu yakfuruna biayati al-lahi wayaqtuluna an-nabiyina bighayri al-haqi dhalika bima asaw wakanu ya'taduna
69,2,62,inna alladhina amanu wa-alladhina hadu wan-nasara was-sabiina man amana bil-lahi wal-yawmi al-akhiri wa'amila salihan falahum ajruhum inda rabbihim wala khawfun alayhim wala hum yahzanuna
70,2,63,wa-idh akhadhna mithaqakum warafa'na fawqakumu at-tura khudhu ma ataynakum biquwwatin wa-udh'kuru ma fihi la'allakum tattaquna
71,2,64,thumma tawallaytum min ba'di dhalika falawla fadlu al-lahi alaykum warahmatuhu lakuntum mina al-khasirina
72,2,65,walaqad alim'tumu alladhina i'tadaw minkum fi as-sabti faqul'na lahum kunu qiradatan khasiina
73,2,66,faja'alnaha nakalan lima bayna yadayha wama khalfaha wamaw'izatan lil'muttaqina
74,2,67,wa-idh qala musa liqawmihi inna al-laha yamurukum an tadhbahu baqaratan qalu atattakhidhuna huzuwan qala a'udhu bil-lahi an akuna mina al-jahilina
75,2,68,qalu ud'u lana rabbaka yubayyin lana ma hiya qala innahu yaqulu innaha baqaratun la faridun wala bik'run awanun bayna dhalika fa-if'alu ma tu'maruna
76,2,69,qalu ud'u lana rabbaka yubayyin lana ma lawnuha qala innahu yaqulu innaha baqaratun safrau faqi'un lawnuha tasurru an-nazirina
77,2,70,qalu ud'u lana rabbaka yubayyin lana ma hiya inna al-baqara tashabaha alayna wa-inna in shaa al-lahu lamuh'taduna
78,2,71,qala innahu yaqulu innaha baqaratun la dhalulun tuthiru al-arda wala tasqi al-hartha musallamatun la shiyata fiha qalu al-ana ji'ta bil-haqi fadhabahuha wama kadu yaf 'aluna
79,2,72,wa-idh qataltum nafsan fa-iddaratum fiha wal-lahu mukh'rijun ma kuntum taktumuna
80,2,73,faqul'na id'ribuhu biba'diha kadhalika yuh'yi al-lahu al-mawta wayurikum ayatihi la'allakum ta'qiluna
81,2,74,thumma qasat qulubukum min ba'di dhalika fahiya kal-hijarati aw ashaddu qaswatan wa-inna mina al-hijarati lama yatafajjaru min'hu al-anharu wa-inna min'ha lama yashaqqaqu fayakhruju min'hu al-mau wa-inna min'ha lama yahbitu min khashyati al-lahi wama al-lahu bighafilin amma ta'maluna
82,2,75,afatatma'una an yu'minu lakum waqad kana fariqun min'hum yasma'una kalama al-lahi thumma yuharrifunahu min ba'di ma aqaluhu wahum ya'lamuna
83,2,76,wa-idha laqu alladhina amanu qalu amanna wa-idha khala ba'duhum ila ba'din qalu atuhaddithunahum bima fataha al-lahu alaykum liyuhajjukum bihi inda rabbikum afala ta'qiluna
84,2,77,awala ya'lamuna anna al-laha ya'lamu ma yusirruna wama yu'linuna
85,2,78,wamin'hum ummiyyuna la ya'lamuna al-kitaba illa amaniyya wa-in hum illa yazunnuna
86,2,79,fawaylun lilladhina yaktubuna al-kitaba bi-aydihim thumma yaquluna hadha min indi al-lahi liyashtaru bihi thamanan qalilan fawaylun lahum mimma katabat aydihim wawaylun lahum mimma yaksibuna
87,2,80,waqalu lan tamassana an-naru illa ayyaman ma'dudatan qul attakhadhtum inda al-lahi ahdan falan yukh'lifa al-lahu ahdahu am taquluna ala al-lahi ma la ta'lamuna
88,2,81,bala man kasaba sayyi-atan wa-ahatat bihi khatiatuhu fa-ulaika ashabu an-nari hum fiha khaliduna
89,2,82,wa-alladhina amanu wa'amilu as-salihati ulaika ashabu al-janati hum fiha khaliduna
90,2,83,wa-idh akhadhna mithaqa bani is'raila la ta'buduna illa al-laha wabil-walidayni ih'sanan wadhi al-qur'ba wal-yatama wal-masakini waqulu lilnnasi hus'nan wa-aqimu as-salata waatu az-zakata thumma tawallaytum illa qalilan minkum wa-antum mu'riduna
91,2,84,wa-idh akhadhna mithaqakum la tasfikuna dimaakum wala tukh'rijuna anfusakum min diyarikum thumma aqrartum wa-antum tashhaduna
92,2,85,thumma antum haulai taqtuluna anfusakum watukh'rijuna fariqan minkum min diyarihim tazaharuna alayhim bil-ith'mi wal-'ud'wani wa-in yatukum usara tufaduhum wahuwa muharramun alaykum ikh'rajuhum afatu'minuna biba'di al-kitabi watakfuruna biba'din fama jazau man yaf 'alu dhalika minkum illa khiz'yun fi al-hayati ad-dun'ya wayawma al-qiyamati yuradduna ila ashaddi al-'adhabi wama al-lahu bighafilin amma ta'maluna
93,2,86,ulaika alladhina ish'tarawu al-hayata ad-dun'ya bil-akhirati fala yukhaffafu anhumu al-'adhabu wala hum yunsaruna
94,2,87,walaqad atayna musa al-kitaba waqaffayna min ba'dihi bil-rusuli waatayna isa ib'na maryama al-bayinati wa-ayyadnahu biruhi al-qudusi afakullama jaakum rasulun bima la tahwa anfusukumu is'takbartum fafariqan kadhabtum wafariqan taqtuluna
95,2,88,waqalu qulubuna ghul'fun bal la'anahumu al-lahu bikuf'rihim faqalilan ma yu'minuna
96,2,89,walamma jaahum kitabun min indi al-lahi musaddiqun lima ma'ahum wakanu min qablu yastaftihuna ala alladhina kafaru falamma jaahum ma arafu kafaru bihi fala'natu al-lahi ala al-kafirina
97,2,90,bi'sama ish'taraw bihi anfusahum an yakfuru bima anzala al-lahu baghyan an yunazzila al-lahu min fadlihi ala man yashau min ibadihi fabau bighadabin ala ghadabin walil'kafirina adhabun muhinun
98,2,91,wa-idha qila lahum aminu bima anzala al-lahu qalu nu'minu bima unzila alayna wayakfuruna bima waraahu wahuwa al-haqu musaddiqan lima ma'ahum qul falima taqtuluna anbiyaa al-lahi min qablu in kuntum mu'minina
99,2,92,walaqad jaakum musa bil-bayinati thumma ittakhadhtumu al-'ij'la min ba'dihi wa-antum zalimuna
100,2,93,wa-idh akhadhna mithaqakum warafa'na fawqakumu at-tura khudhu ma ataynakum biquwwatin wa-is'ma'u qalu sami'na wa'asayna wa-ush'ribu fi qulubihimu al-'ij'la bikuf'rihim qul bi'sama yamurukum bihi imanukum in kuntum mu'minina
101,2,94,qul in kanat lakumu ad-daru al-akhiratu inda al-lahi khalisatan min duni an-nasi fatamannawu al-mawta in kuntum sadiqina
102,2,95,walan yatamannawhu abadan bima qaddamat aydihim wal-lahu alimun bil-zalimina
103,2,96,walatajidannahum ahrasa an-nasi ala hayatin wamina alladhina ashraku yawaddu ahaduhum law yu'ammaru alfa sanatin wama huwa bimuzahzihihi mina al-'adhabi an yu'ammara wal-lahu basirun bima ya'maluna
104,2,97,qul man kana aduwwan lijib'rila fa-innahu nazzalahu ala qalbika bi-idh'ni al-lahi musaddiqan lima bayna yadayhi wahudan wabush'ra lil'mu'minina
105,2,98,man kana aduwwan lillahi wamalaikatihi warusulihi wajib'rila wamikala fa-inna al-laha aduwwun lil'kafirina
106,2,99,walaqad anzalna ilayka ayatin bayyinatin wama yakfuru biha illa al-fasiquna
107,2,100,awakullama ahadu ahdan nabadhahu fariqun min'hum bal aktharuhum la yu'minuna
108,2,101,walamma jaahum rasulun min indi al-lahi musaddiqun lima ma'ahum nabadha fariqun mina alladhina utu al-kitaba kitaba al-lahi waraa zuhurihim ka-annahum la ya'lamuna
109,2,102,wa-ittaba'u ma tatlu as-shayatinu ala mul'ki sulaymana wama kafara sulaymanu walakinna as-shayatina kafaru yu'allimuna an-nasa as-sih'ra wama unzila ala al-malakayni bibabila haruta wamaruta wama yu'allimani min ahadin hatta yaqula innama nahnu fit'natun fala takfur fayata'allamuna min'huma ma yufarriquna bihi bayna al-mari wazawjihi wama hum bidarrina bihi min ahadin illa bi-idh'ni al-lahi wayata'allamuna ma yadurruhum wala yanfa'uhum walaqad alimu lamani ish'tarahu ma lahu fi al-akhirati min khalaqin walabi'sa ma sharaw bihi anfusahum law kanu ya'lamuna
110,2,103,walaw annahum amanu wa-ittaqaw lamathubatun min indi al-lahi khayrun law kanu ya'lamuna
111,2,104,yaayyuha alladhina amanu la taqulu ra'ina waqulu unzur'na wa-is'ma'u walil'kafirina adhabun alimun
112,2,105,ma yawaddu alladhina kafaru min ahli al-kitabi wala al-mush'rikina an yunazzala alaykum min khayrin min rabbikum wal-lahu yakhtassu birahmatihi man yashau wal-lahu dhu al-fadli al-'azimi
113,2,106,ma nansakh min ayatin aw nunsiha nati bikhayrin min'ha aw mith'liha alam ta'lam anna al-laha ala kulli shayin qadirun
114,2,107,alam ta'lam anna al-laha lahu mul'ku as-samawati wal-ardi wama lakum min duni al-lahi min waliyyin wala nasirin
115,2,108,am turiduna an tasalu rasulakum kama su-ila musa min qablu waman yatabaddali al-kuf'ra bil-imani faqad dalla sawaa as-sabili
116,2,109,wadda kathirun min ahli al-kitabi law yaruddunakum min ba'di imanikum kuffaran hasadan min indi anfusihim min ba'di ma tabayyana lahumu al-haqu fa-i'fu wa-is'fahu hatta yatiya al-lahu bi-amrihi inna al-laha ala kulli shayin qadirun
117,2,110,wa-aqimu as-salata waatu az-zakata wama tuqaddimu li-anfusikum min khayrin tajiduhu inda al-lahi inna al-laha bima ta'maluna basirun
118,2,111,waqalu lan yadkhula al-janata illa man kana hudan aw nasara til'ka amaniyyuhum qul hatu bur'hanakum in kuntum sadiqina
119,2,112,bala man aslama wajhahu lillahi wahuwa muh'sinun falahu ajruhu inda rabbihi wala khawfun alayhim wala hum yahzanuna
120,2,113,waqalati al-yahudu laysati an-nasara ala shayin waqalati an-nasara laysati al-yahudu ala shayin wahum yatluna al-kitaba kadhalika qala alladhina la ya'lamuna mith'la qawlihim fal-lahu yahkumu baynahum yawma al-qiyamati fima kanu fihi yakhtalifuna
121,2,114,waman azlamu mimman mana'a masajida al-lahi an yudh'kara fiha us'muhu wasa'a fi kharabiha ulaika ma kana lahum an yadkhuluha illa khaifina lahum fi ad-dun'ya khiz'yun walahum fi al-akhirati adhabun azimun
122,2,115,walillahi al-mashriqu wal-maghribu fa-aynama tuwallu fathamma wajhu al-lahi inna al-laha wasi'un alimun
123,2,116,waqalu ittakhadha al-lahu waladan sub'hanahu bal lahu ma fi as-samawati wal-ardi kullun lahu qanituna
124,2,117,badi'u as-samawati wal-ardi wa-idha qada amran fa-innama yaqulu lahu kun fayakunu
